CUSTOMER_ID,AGE,GENDER,ITEM_PURCHASED,CATEGORY,PURCHASE_AMOUNT,LOCATION,REGION,SIZE,COLOR,SEASON,REVIEW_RATING,SUBSCRIPTION_STATUS,SHIPPING_TYPE,DISCOUNT_APPLIED,PROMO_CODE_USED,PREVIOUS_PURCHASES,PAYMENT_METHOD,FREQUENCY_OF_PURCHASES,PROCESSDATE,AGE_GROUP,REVIEWS_CLASSIFICATION
30,31,Male,Dress,Clothing,48,Wyoming,West Region,S,Black,Fall,4.1,true,Store Pickup,true,true,14,Credit Card,Weekly,3/28/2025 7:14,YOUTH,EXCELLENT
31,57,Male,Jewelry,Accessories,31,North Carolina,South Region,L,Black,Winter,4.7,true,Standard,true,true,16,Credit Card,Monthly,4/17/2025 5:18,ADULT,EXCELLENT
32,33,Male,Dress,Clothing,79,West Virginia,South Region,L,Brown,Winter,4.7,true,Store Pickup,true,true,45,Venmo,Monthly,2/9/2025 19:54,YOUTH,EXCELLENT
33,36,Male,Jacket,Outerwear,67,Kansas,Midwest Region,M,Silver,Summer,4.9,true,Free Shipping,true,true,37,Venmo,Annually,4/13/2025 14:41,ADULT,EXCELLENT
34,54,Male,Pants,Clothing,38,Colorado,West Region,L,Green,Summer,3.3,true,Store Pickup,true,true,45,Cash,Quarterly,1/29/2025 14:10,ADULT,GOOD
35,36,Male,T-shirt,Clothing,91,North Dakota,Midwest Region,L,Violet,Spring,4.6,true,2-Day Shipping,true,true,38,PayPal,Quarterly,2/23/2025 8:42,ADULT,EXCELLENT
36,54,Male,Blouse,Clothing,33,Massachusetts,Northeast Region,M,Cyan,Summer,4.0,true,2-Day Shipping,true,true,48,Credit Card,Bi-Weekly,5/9/2025 13:44,ADULT,GOOD
37,35,Male,T-shirt,Clothing,69,Illinois,Midwest Region,M,Maroon,Winter,4.6,true,Free Shipping,true,true,44,PayPal,Fortnightly,6/7/2025 8:36,YOUTH,EXCELLENT
38,35,Male,Jeans,Clothing,45,Indiana,Midwest Region,S,Cyan,Summer,2.8,true,Store Pickup,true,true,10,PayPal,Weekly,6/21/2025 21:43,YOUTH,BAD
39,29,Male,Dress,Clothing,37,Florida,South Region,M,Red,Winter,3.7,true,2-Day Shipping,true,true,44,Venmo,Every 3 Months,2/19/2025 22:42,YOUTH,GOOD
40,70,Male,Pants,Clothing,60,Arizona,West Region,S,Turquoise,Summer,4.2,true,Express,true,true,18,Credit Card,Monthly,1/7/2025 11:21,SENIOR,EXCELLENT
41,69,Male,Handbag,Accessories,76,Louisiana,South Region,L,Beige,Winter,4.6,true,Next Day Air,true,true,31,Debit Card,Quarterly,1/29/2025 0:54,SENIOR,EXCELLENT
42,67,Male,Scarf,Accessories,39,Alaska,West Region,M,Orange,Spring,4.5,true,Standard,true,true,40,Venmo,Annually,6/21/2025 13:35,SENIOR,EXCELLENT
43,20,Male,Coat,Outerwear,100,Tennessee,South Region,M,Beige,Spring,4.1,true,Free Shipping,true,true,15,PayPal,Annually,1/15/2025 10:00,YOUTH,EXCELLENT
44,25,Male,Scarf,Accessories,69,Ohio,Midwest Region,L,Lavender,Fall,3.7,true,Store Pickup,true,true,19,PayPal,Fortnightly,4/5/2025 10:09,YOUTH,GOOD
45,39,Male,Hat,Accessories,53,Kentucky,South Region,S,Silver,Summer,4.6,true,Free Shipping,true,true,45,PayPal,Weekly,1/22/2025 2:13,ADULT,EXCELLENT
46,50,Male,Socks,Clothing,21,Tennessee,South Region,XL,Indigo,Fall,2.9,true,2-Day Shipping,true,true,25,PayPal,Annually,6/6/2025 20:23,ADULT,BAD
47,57,Male,Shirt,Clothing,43,California,West Region,L,White,Summer,2.9,true,Store Pickup,true,true,45,Cash,Quarterly,5/26/2025 13:35,ADULT,BAD
48,55,Male,Jewelry,Accessories,54,Montana,West Region,M,Charcoal,Winter,4.5,true,Free Shipping,true,true,36,Cash,Weekly,3/23/2025 5:27,ADULT,EXCELLENT
49,42,Male,Shirt,Clothing,55,Nevada,West Region,M,Orange,Summer,2.7,true,Store Pickup,true,true,38,Cash,Monthly,6/14/2025 18:13,ADULT,BAD
50,68,Male,Hoodie,Clothing,30,New Jersey,Northeast Region,S,Indigo,Spring,4.6,true,Next Day Air,true,true,34,Debit Card,Bi-Weekly,2/23/2025 20:34,SENIOR,EXCELLENT
51,49,Male,Blouse,Clothing,28,Maryland,South Region,M,Red,Spring,3.7,true,Store Pickup,true,true,39,Debit Card,Bi-Weekly,1/10/2025 8:10,ADULT,GOOD
52,59,Male,Skirt,Clothing,59,Vermont,Northeast Region,XL,Gray,Winter,4.7,true,2-Day Shipping,true,true,7,Credit Card,Quarterly,5/19/2025 4:30,ADULT,EXCELLENT
53,42,Male,T-shirt,Clothing,20,Alaska,West Region,M,Green,Summer,2.6,true,Free Shipping,true,true,26,Credit Card,Weekly,4/3/2025 10:33,ADULT,BAD
54,29,Male,Skirt,Clothing,24,Mississippi,South Region,S,Peach,Winter,3.9,true,Next Day Air,true,true,35,Credit Card,Weekly,1/27/2025 3:31,YOUTH,GOOD
55,47,Male,Coat,Outerwear,94,New Mexico,West Region,M,Brown,Summer,4.2,true,Next Day Air,true,true,35,Debit Card,Bi-Weekly,5/12/2025 23:21,ADULT,EXCELLENT
56,40,Male,Jacket,Outerwear,28,South Carolina,South Region,M,Lavender,Winter,3.0,true,2-Day Shipping,true,true,49,Credit Card,Annually,3/29/2025 5:07,ADULT,GOOD
57,41,Male,Backpack,Accessories,73,Mississippi,South Region,XL,Brown,Summer,4.7,true,Store Pickup,true,true,46,Credit Card,Weekly,6/17/2025 11:47,ADULT,EXCELLENT
58,21,Male,Coat,Outerwear,64,West Virginia,South Region,M,White,Summer,4.4,true,Store Pickup,true,true,17,Debit Card,Fortnightly,3/11/2025 5:54,YOUTH,EXCELLENT
59,69,Male,Hoodie,Clothing,54,Missouri,Midwest Region,M,Charcoal,Summer,4.2,true,Free Shipping,true,true,29,Venmo,Monthly,1/28/2025 4:18,SENIOR,EXCELLENT
60,63,Male,Belt,Accessories,79,Louisiana,South Region,L,Yellow,Spring,4.6,true,Standard,true,true,4,Debit Card,Weekly,2/19/2025 1:08,SENIOR,EXCELLENT
61,50,Male,Sweater,Clothing,37,Idaho,West Region,L,Brown,Summer,4.0,true,Express,true,true,17,Cash,Weekly,6/9/2025 21:05,ADULT,GOOD
62,55,Male,Scarf,Accessories,68,Texas,South Region,M,Orange,Winter,4.7,true,Store Pickup,true,true,21,Credit Card,Every 3 Months,5/18/2025 23:33,ADULT,EXCELLENT
63,30,Male,Sneakers,Footwear,21,Mississippi,South Region,S,Magenta,Spring,3.8,true,Free Shipping,true,true,31,Credit Card,Fortnightly,3/2/2025 22:09,YOUTH,GOOD
64,33,Male,Sunglasses,Accessories,79,Arizona,West Region,L,Lavender,Winter,2.7,true,2-Day Shipping,true,true,43,Credit Card,Weekly,6/15/2025 12:51,YOUTH,BAD
65,65,Male,Boots,Footwear,83,Alabama,South Region,S,Green,Fall,4.8,true,Standard,true,true,18,Debit Card,Fortnightly,5/18/2025 0:50,SENIOR,EXCELLENT
66,65,Male,Backpack,Accessories,36,New Jersey,Northeast Region,M,Purple,Spring,4.8,true,2-Day Shipping,true,true,44,Venmo,Every 3 Months,2/20/2025 22:14,SENIOR,EXCELLENT
67,31,Male,Blouse,Clothing,94,Pennsylvania,Northeast Region,S,Magenta,Winter,4.7,true,2-Day Shipping,true,true,3,Venmo,Every 3 Months,1/24/2025 11:44,YOUTH,EXCELLENT
68,45,Male,Coat,Outerwear,33,Connecticut,Northeast Region,L,Gray,Winter,4.4,true,Store Pickup,true,true,49,Debit Card,Monthly,4/26/2025 2:25,ADULT,EXCELLENT
69,57,Male,Handbag,Accessories,46,Utah,West Region,L,Silver,Summer,3.9,true,Next Day Air,true,true,21,Cash,Every 3 Months,4/18/2025 4:20,ADULT,GOOD
70,48,Male,Belt,Accessories,70,Tennessee,South Region,S,Cyan,Summer,4.4,true,Express,true,true,5,Cash,Weekly,5/6/2025 21:20,ADULT,EXCELLENT
71,22,Male,Belt,Accessories,29,Alabama,South Region,M,Magenta,Fall,4.2,true,Express,true,true,32,Debit Card,Every 3 Months,1/4/2025 22:03,YOUTH,EXCELLENT
72,36,Male,Dress,Clothing,48,Virginia,South Region,L,Gold,Summer,2.9,true,Express,true,true,34,Bank Transfer,Annually,1/25/2025 1:07,ADULT,BAD
73,18,Male,Dress,Clothing,26,Georgia,South Region,M,Olive,Winter,2.9,true,Store Pickup,true,true,21,Bank Transfer,Every 3 Months,2/5/2025 2:52,YOUTH,BAD
74,48,Male,Pants,Clothing,85,Hawaii,West Region,M,Teal,Spring,2.7,true,Free Shipping,true,true,43,Bank Transfer,Bi-Weekly,2/18/2025 1:42,ADULT,BAD
75,49,Male,Gloves,Accessories,58,Indiana,Midwest Region,L,Violet,Spring,4.5,true,Express,true,true,3,Cash,Monthly,6/24/2025 11:24,ADULT,EXCELLENT
76,64,Male,Scarf,Accessories,85,Utah,West Region,M,Blue,Summer,2.7,true,Free Shipping,true,true,21,Credit Card,Annually,5/16/2025 13:45,SENIOR,BAD
77,50,Male,Hat,Accessories,43,Delaware,South Region,S,Teal,Summer,4.2,true,Free Shipping,true,true,32,Venmo,Monthly,4/1/2025 23:03,ADULT,EXCELLENT
78,22,Male,Dress,Clothing,53,Delaware,South Region,L,Gold,Summer,3.3,true,Next Day Air,true,true,36,Debit Card,Fortnightly,5/15/2025 9:19,YOUTH,GOOD
79,50,Male,Skirt,Clothing,91,Nebraska,Midwest Region,M,Maroon,Spring,4.7,true,Free Shipping,true,true,50,Venmo,Fortnightly,5/7/2025 21:16,ADULT,EXCELLENT
80,38,Male,Jacket,Outerwear,96,Iowa,Midwest Region,M,Olive,Winter,2.6,true,2-Day Shipping,true,true,43,Bank Transfer,Every 3 Months,6/29/2025 19:54,ADULT,BAD
81,19,Male,Sandals,Footwear,72,New York,Northeast Region,XL,Blue,Summer,3.3,true,Store Pickup,true,true,24,Credit Card,Every 3 Months,4/16/2025 9:04,YOUTH,GOOD
82,67,Male,Shoes,Footwear,96,Virginia,South Region,L,Maroon,Summer,2.6,true,Express,true,true,36,Credit Card,Every 3 Months,3/24/2025 2:57,SENIOR,BAD
83,19,Male,Pants,Clothing,28,Georgia,South Region,S,Olive,Spring,4.0,true,2-Day Shipping,true,true,21,Credit Card,Every 3 Months,4/22/2025 0:08,YOUTH,GOOD
84,36,Male,Dress,Clothing,40,Texas,South Region,M,Turquoise,Summer,4.1,true,Standard,true,true,34,Bank Transfer,Weekly,1/28/2025 19:12,ADULT,EXCELLENT
85,52,Male,Coat,Outerwear,32,Arizona,West Region,S,Peach,Spring,4.4,true,Standard,true,true,42,Bank Transfer,Every 3 Months,6/12/2025 20:15,ADULT,EXCELLENT
86,53,Male,Sunglasses,Accessories,95,New Mexico,West Region,M,Charcoal,Winter,4.5,true,Next Day Air,true,true,2,Debit Card,Bi-Weekly,3/16/2025 3:22,ADULT,EXCELLENT
87,24,Male,Hoodie,Clothing,41,Nevada,West Region,L,Pink,Spring,3.7,true,2-Day Shipping,true,true,47,Cash,Bi-Weekly,3/9/2025 2:04,YOUTH,GOOD
88,52,Male,Shoes,Footwear,53,Ohio,Midwest Region,M,Green,Fall,3.7,true,2-Day Shipping,true,true,44,Debit Card,Fortnightly,4/15/2025 5:42,ADULT,GOOD
89,33,Male,T-shirt,Clothing,47,Wyoming,West Region,M,Orange,Fall,3.5,true,Free Shipping,true,true,35,Credit Card,Monthly,3/29/2025 17:20,YOUTH,GOOD
90,47,Male,Jacket,Outerwear,83,California,West Region,XL,Pink,Fall,3.6,true,Next Day Air,true,true,15,Cash,Quarterly,6/8/2025 15:28,ADULT,GOOD
91,25,Male,Hat,Accessories,48,South Carolina,South Region,L,Violet,Summer,2.9,true,Express,true,true,29,Credit Card,Monthly,3/20/2025 0:21,YOUTH,BAD
92,44,Male,Scarf,Accessories,99,South Carolina,South Region,S,Green,Winter,4.6,true,Standard,true,true,18,Credit Card,Every 3 Months,5/4/2025 1:17,ADULT,EXCELLENT
93,61,Male,Jacket,Outerwear,87,Texas,South Region,M,Olive,Winter,4.4,true,2-Day Shipping,true,true,13,Venmo,Every 3 Months,1/28/2025 12:16,SENIOR,EXCELLENT
94,37,Male,Sweater,Clothing,62,Florida,South Region,M,Purple,Fall,4.5,true,Standard,true,true,46,Credit Card,Weekly,6/28/2025 2:24,ADULT,EXCELLENT
95,58,Male,Skirt,Clothing,76,Nevada,West Region,S,Silver,Spring,4.6,true,Free Shipping,true,true,28,Credit Card,Weekly,4/22/2025 17:03,ADULT,EXCELLENT
96,37,Male,Sneakers,Footwear,100,Missouri,Midwest Region,L,Pink,Fall,3.8,true,Free Shipping,true,true,48,PayPal,Monthly,6/5/2025 19:21,ADULT,GOOD
97,32,Male,Gloves,Accessories,73,Delaware,South Region,S,Gold,Spring,3.6,true,Express,true,true,43,Venmo,Every 3 Months,5/27/2025 1:49,YOUTH,GOOD
98,21,Male,Shoes,Footwear,92,Virginia,South Region,M,Teal,Winter,4.8,true,Store Pickup,true,true,37,Cash,Annually,3/13/2025 20:34,YOUTH,EXCELLENT
99,20,Male,Jeans,Clothing,67,New York,Northeast Region,XL,Teal,Spring,2.6,true,Next Day Air,true,true,20,Bank Transfer,Annually,1/8/2025 22:17,YOUTH,BAD
100,26,Male,Hoodie,Clothing,40,Missouri,Midwest Region,XL,Indigo,Summer,3.7,true,Express,true,true,33,Debit Card,Quarterly,2/2/2025 5:31,YOUTH,GOOD
101,62,Male,Sunglasses,Accessories,98,South Dakota,Midwest Region,M,Maroon,Fall,2.7,true,Express,true,true,31,Cash,Fortnightly,5/25/2025 7:38,SENIOR,BAD
102,27,Male,Coat,Outerwear,85,North Dakota,Midwest Region,XL,White,Spring,4.6,true,Express,true,true,50,Credit Card,Bi-Weekly,3/27/2025 9:24,YOUTH,EXCELLENT
103,51,Male,Socks,Clothing,67,Oklahoma,South Region,L,Violet,Winter,4.8,true,Next Day Air,true,true,35,Credit Card,Quarterly,3/3/2025 2:42,ADULT,EXCELLENT
104,54,Male,Boots,Footwear,89,West Virginia,South Region,L,Red,Winter,4.0,true,Next Day Air,true,true,22,Venmo,Bi-Weekly,4/18/2025 13:38,ADULT,GOOD
105,55,Male,Sunglasses,Accessories,24,New Hampshire,Northeast Region,L,Pink,Spring,4.4,true,2-Day Shipping,true,true,1,PayPal,Monthly,5/7/2025 2:37,ADULT,EXCELLENT
106,69,Male,Backpack,Accessories,96,New York,Northeast Region,M,Charcoal,Fall,3.6,true,Next Day Air,true,true,4,Bank Transfer,Annually,4/24/2025 6:05,SENIOR,GOOD
107,64,Male,Jacket,Outerwear,35,Minnesota,Midwest Region,L,White,Summer,3.7,true,Standard,true,true,31,Credit Card,Monthly,3/21/2025 7:43,SENIOR,GOOD
108,28,Male,Sneakers,Footwear,67,Maryland,South Region,L,Olive,Winter,3.1,true,Next Day Air,true,true,46,PayPal,Fortnightly,3/1/2025 17:01,YOUTH,GOOD
109,70,Male,Socks,Clothing,79,Montana,West Region,L,Purple,Spring,3.4,true,Next Day Air,true,true,32,Bank Transfer,Bi-Weekly,1/18/2025 12:49,SENIOR,GOOD
110,58,Male,T-shirt,Clothing,85,Alabama,South Region,M,Violet,Spring,2.6,true,Next Day Air,true,true,43,Bank Transfer,Fortnightly,3/28/2025 7:52,ADULT,BAD
111,56,Male,Backpack,Accessories,26,New York,Northeast Region,M,Black,Summer,4.0,true,Standard,true,true,26,Venmo,Fortnightly,2/13/2025 1:16,ADULT,GOOD
112,26,Male,Belt,Accessories,75,Massachusetts,Northeast Region,L,Purple,Summer,5.0,true,Free Shipping,true,true,9,Credit Card,Annually,5/7/2025 16:52,YOUTH,EXCELLENT
113,37,Male,Gloves,Accessories,65,Florida,South Region,M,Red,Spring,4.3,true,Free Shipping,true,true,28,PayPal,Bi-Weekly,5/6/2025 10:19,ADULT,EXCELLENT
114,44,Male,Hat,Accessories,54,New Jersey,Northeast Region,L,Maroon,Winter,3.1,true,Next Day Air,true,true,20,PayPal,Quarterly,5/21/2025 9:41,ADULT,GOOD
115,70,Male,Coat,Outerwear,95,Massachusetts,Northeast Region,S,Blue,Summer,3.7,true,Store Pickup,true,true,9,Cash,Weekly,1/13/2025 17:53,SENIOR,GOOD
116,53,Male,Skirt,Clothing,94,Wyoming,West Region,M,Gray,Spring,3.8,true,Standard,true,true,48,Debit Card,Every 3 Months,2/15/2025 7:41,ADULT,GOOD
117,55,Male,Shoes,Footwear,86,Virginia,South Region,S,Blue,Spring,3.4,true,Free Shipping,true,true,12,Venmo,Annually,1/1/2025 13:01,ADULT,GOOD
118,50,Male,Sandals,Footwear,32,South Dakota,Midwest Region,L,Yellow,Summer,4.6,true,Express,true,true,29,Cash,Fortnightly,3/14/2025 5:04,ADULT,EXCELLENT
119,50,Male,Sweater,Clothing,45,Kentucky,South Region,L,Orange,Fall,4.8,true,2-Day Shipping,true,true,27,Cash,Bi-Weekly,4/7/2025 18:01,ADULT,EXCELLENT
120,38,Male,Coat,Outerwear,76,Wyoming,West Region,M,Orange,Fall,4.3,true,Express,true,true,44,Cash,Annually,6/3/2025 2:08,ADULT,EXCELLENT
121,64,Male,Hat,Accessories,84,West Virginia,South Region,L,Red,Summer,4.0,true,Express,true,true,32,Bank Transfer,Annually,5/19/2025 6:36,SENIOR,GOOD
122,19,Male,Shorts,Clothing,72,Virginia,South Region,M,Olive,Winter,4.2,true,Standard,true,true,11,Cash,Fortnightly,4/6/2025 17:05,YOUTH,EXCELLENT
123,40,Male,Backpack,Accessories,40,Washington,West Region,L,Brown,Spring,4.8,true,2-Day Shipping,true,true,44,Cash,Fortnightly,3/22/2025 16:20,ADULT,EXCELLENT
124,57,Male,Sweater,Clothing,89,Louisiana,South Region,L,Brown,Fall,3.1,true,Free Shipping,true,true,46,Cash,Weekly,4/21/2025 20:46,ADULT,GOOD
125,44,Male,Sweater,Clothing,86,Nevada,West Region,M,Gray,Spring,3.1,true,Next Day Air,true,true,50,PayPal,Annually,6/23/2025 15:57,ADULT,GOOD
126,49,Male,Shorts,Clothing,54,California,West Region,M,Indigo,Winter,3.6,true,Next Day Air,true,true,45,Venmo,Every 3 Months,2/22/2025 0:07,ADULT,GOOD
127,43,Male,Shorts,Clothing,36,Mississippi,South Region,L,Pink,Spring,3.9,true,Store Pickup,true,true,48,Cash,Every 3 Months,1/6/2025 3:36,ADULT,GOOD
128,24,Male,Sweater,Clothing,89,Mississippi,South Region,M,Gray,Winter,4.8,true,Next Day Air,true,true,26,Credit Card,Weekly,3/8/2025 3:44,YOUTH,EXCELLENT
129,20,Male,Scarf,Accessories,32,California,West Region,M,Gold,Spring,4.7,true,Standard,true,true,21,Credit Card,Fortnightly,4/9/2025 18:09,YOUTH,EXCELLENT
130,24,Male,Dress,Clothing,67,Pennsylvania,Northeast Region,XL,Olive,Summer,4.2,true,2-Day Shipping,true,true,49,PayPal,Bi-Weekly,6/20/2025 1:08,YOUTH,EXCELLENT
131,44,Male,Scarf,Accessories,39,Kentucky,South Region,L,Violet,Fall,3.7,true,Next Day Air,true,true,13,PayPal,Fortnightly,2/3/2025 5:00,ADULT,GOOD
132,28,Male,Skirt,Clothing,29,Maine,Northeast Region,L,Indigo,Summer,3.9,true,Standard,true,true,46,Credit Card,Weekly,5/1/2025 21:20,YOUTH,GOOD
133,30,Male,Backpack,Accessories,58,New Mexico,West Region,M,Orange,Fall,4.7,true,2-Day Shipping,true,true,42,PayPal,Weekly,2/1/2025 5:46,YOUTH,EXCELLENT
134,52,Male,Sweater,Clothing,65,Montana,West Region,M,Violet,Winter,2.5,true,Next Day Air,true,true,25,Venmo,Annually,2/10/2025 13:58,ADULT,BAD
135,43,Male,Hat,Accessories,94,Texas,South Region,L,Gray,Fall,4.9,true,Store Pickup,true,true,25,Cash,Monthly,2/11/2025 20:01,ADULT,EXCELLENT
136,43,Male,Sandals,Footwear,81,Kansas,Midwest Region,M,Purple,Fall,4.1,true,Express,true,true,12,PayPal,Quarterly,4/6/2025 4:44,ADULT,EXCELLENT
137,39,Male,Blouse,Clothing,86,South Carolina,South Region,M,White,Winter,3.3,true,Free Shipping,true,true,4,Debit Card,Quarterly,1/31/2025 17:18,ADULT,GOOD
138,68,Male,Sneakers,Footwear,43,Colorado,West Region,M,Turquoise,Spring,4.7,true,Free Shipping,true,true,38,PayPal,Weekly,6/7/2025 9:19,SENIOR,EXCELLENT
139,68,Male,Skirt,Clothing,29,Georgia,South Region,M,Maroon,Winter,4.4,true,Store Pickup,true,true,42,Bank Transfer,Weekly,4/18/2025 16:36,SENIOR,EXCELLENT
140,49,Male,Coat,Outerwear,95,Florida,South Region,M,White,Fall,3.8,true,Store Pickup,true,true,30,Venmo,Annually,1/8/2025 8:57,ADULT,GOOD
141,63,Male,Shirt,Clothing,28,North Carolina,South Region,L,Yellow,Fall,3.9,true,2-Day Shipping,true,true,50,Credit Card,Weekly,1/3/2025 8:33,SENIOR,GOOD
142,56,Male,Gloves,Accessories,46,Virginia,South Region,M,Turquoise,Fall,4.9,true,Free Shipping,true,true,45,PayPal,Weekly,6/4/2025 11:00,ADULT,EXCELLENT
143,37,Male,Jacket,Outerwear,58,Nebraska,Midwest Region,L,Violet,Fall,3.1,true,Free Shipping,true,true,33,Credit Card,Fortnightly,1/19/2025 4:50,ADULT,GOOD
144,30,Male,Coat,Outerwear,48,Missouri,Midwest Region,M,Beige,Fall,2.7,true,Store Pickup,true,true,25,PayPal,Quarterly,1/31/2025 17:19,YOUTH,BAD
145,19,Male,Shoes,Footwear,43,New Jersey,Northeast Region,M,Silver,Fall,3.2,true,Express,true,true,25,Cash,Monthly,5/11/2025 12:32,YOUTH,GOOD
146,24,Male,Jewelry,Accessories,95,Missouri,Midwest Region,M,Teal,Fall,4.5,true,Standard,true,true,44,Debit Card,Quarterly,2/2/2025 0:37,YOUTH,EXCELLENT
147,52,Male,Skirt,Clothing,30,Colorado,West Region,S,Black,Fall,4.0,true,Standard,true,true,21,Venmo,Fortnightly,6/7/2025 5:00,ADULT,GOOD
